空间环境特征_Place_Name,空间环境特征_Spatial_Features_Natural
玻璃栈桥; 下关火车主题公园; 铁路轮渡栈桥旧址; 大马路; 民国首都电厂旧址公园; 中山码头; 火车北站; 长江大桥; 阅江楼; 南京条约史料陈列馆; 仪凤门; 绣球公园; 挹江门; 老城墙; 定淮门,长江; 梧桐树; 小湖; 狮子山; 天空; 晚霞; 月亮
,
下关火车主题公园; 铁路轮渡旧址,长江; 落日; 晚风
南京西站; 下关火车主题公园; 铁路轮渡旧址; 浦口火车站,
,天气（寒冷）
,
老山; 中山码头; 浦口码头; 南京珍珠泉风景区西大门停车场; 响塘水库; 汤泉镇,老山森林; 江面
中山码头,
铁路轮渡栈桥旧址,长江; 涛声; 荒草; 天气（阴天）
,
下关西火车主题园; 江边路; 大马路; 沿江风光带; 江豚观赏地; 中山码头; 浦口码头; 浦口火车站; 长江大桥; 民国首都电厂旧址,长江; 江面; 江风; 梧桐树; 江豚
南京中央医院旧址,
宝塔桥玻璃栈道; 下关火车遗址公园; 下关大马路; 下关梧桐大道; 中山码头; 浦口火车站,梧桐树
中山码头,长江; 日落
中山码头; 浦口码头,长江; 落日
长江大桥; 玻璃栈道,长江; 落日
中山码头; 浦口码头; 滨江公园; 浦口火车站旧址,
7-11江边路店,长江; 天空; 风
浦口火车站,
中山码头; 浦口码头; 浦口火车站,
滨江公园; 镇江阁; 城东公园; 运河公园; 三峡人家; 三峡大瀑布; 两坝一峡; 三峡游客中心; 西陵区; 伍家岗区,长江; 山地地形; 瀑布; 蔷薇花; 植被; 风
鼓楼滨江; 天妃宫,鼓楼滨江风光带
浦口火车站; 中山码头; 南京北站旧址,日落; 江风; 长江大桥
中山码头,
下关火车主题公园; 长江大桥玻璃栈道,长江; 江面; 落日; 晚风; 淤泥; 石头
中山码头; 江豚观测点,长江; 江豚
中山码头; 长江大桥; 长江,长江; 落日; 波光粼粼; 天空; 雨
浦口火车站,
浦口火车站; 南京北站; 浦口码头; 中山码头,长江
中山码头; 浦口码头,长江; 夕阳; 樱花
中国水泥厂; 桦墅村石膏矿; 下关轮渡桥码头; 浦口轮渡桥码头; 江南水泥厂; 南京西站; 浦口火车站; 原海军101工厂,
大桥南堡公园,
南京北站; 浦口码头; 中山码头; 江豚文化小站; 下关火车主题公园; 江豚书屋; 江豚观赏地,夕阳; 长江; 天气晴朗
浦口火车站; 大马路; 中山码头; 扬子江生态公园,长江; 风; 烟花
中山码头; 浦口码头; 浦口火车站近代建筑风貌街区,江风; 落日
亲水圆环景观桥; 下关火车主题公园; 南堡公园; 金陵小区,长江; 金川河; 江水; 天气
浦口火车站,微风
长江大桥,
中山码头,
,
长江大桥; 玻璃栈道,长江; 江面; 夜空
浦口火车站; 浦口码头; 中山码头,长江
南京长江大桥; 玻璃栈道,无法判断
玻璃栈道; 下关火车主题公园; 江豚观赏地; 大马路; 中山码头; 浦口火车站,长江; 江面
中山码头; 浦口码头,
中山码头,
浦口火车站; 大马路,
下关滨江,长江; 江面
中山码头,
浦口火车站; 浦口火车站近代建筑风貌区,
下关火车主题公园,江边
无法判断,落日
燕子矶公园; 江边路; 民国海军医院旧址; 下关火车主题公园,秋天景观; 树叶; 长江（隐含）
民国首都电厂旧址公园,
,
中山码头; 浦口码头; 民国首都电厂旧址公园; 江豚观赏地; 铁路轮渡栈桥旧址; 下关火车公园; 长江大桥玻璃栈道,长江; 江风; 落日; 江豚
大桥南堡公园,
中山码头; 浦口火车站,夕阳
101明潮里; 阅江楼景区,银杏树; 山体; 视野开阔的景观
下关火车公园,
江边路; 玻璃栈桥; 大桥南堡公园; 下关火车主题公园; 铁路轮渡旧址; 民国海军医院旧址; 大马路; 欢乐舞台; 江豚观赏地; 江豚书屋; 民国首都电厂旧址公园; 中山码头; 浦口码头; 浦口火车站,长江; 日落; 江豚
中山码头; 浦口码头; 浦口火车站近代风貌区; 明故宫; 老山; 九龙湖; 隆兴寺,老山; 九龙湖; 雨; 山坡; 泥泞地面
101明潮里; 阅江楼景区,银杏树; 山体; 秋色植被
浦口码头; 浦口火车站,天气
南京江边,长江; 江面; 落日; 天气
中山码头; 浦口码头; 南京北站; 扬子江生态公园,长江; 江景; 日落
铁路轮渡旧址,长江
浦口码头; 中山码头; 长江大桥,江景
下关滨江; 江豚观赏地,长江; 江面; 江豚
,
南京长江大桥,长江
,
浦口火车站,
下关; 中山码头; 浦口火车站; 小红楼; 民国首都电厂旧址公园; 长江江豚观测点; 民国中国银行南京分行旧址; 民国江南邮政管理局旧址; 下关火车主题园; 长江大桥,长江; 江面; 江风; 日落
阅江楼; 江豚广场; 南京招商局旧址; 深业滨江半岛; 深业漫埠; 罗森; 7-11江边路店,梧桐树
,
中山码头; 浦口码头,
下关火车主题公园,
南京大唐电厂出灰运煤码头,长江; 滨江岸线
,
梅园新村; 总统府; 六朝博物馆; 颐和路; 毗卢寺; 江宁织造博物馆; 科巷; 1912街区; 大行宫,法国梧桐
阅江楼; 中山码头; 铁路轮渡栈桥旧址; 下关火车主题公园; 长江大桥,长江; 南京主城区景观; 晴天光线
浦口火车站; 浦口码头,长江; 江风
,
幕燕滨江风光带; 五马渡; 燕子矶广场; 燕子矶公园,长江; 大江; 樱花; 风
,
玻璃栈道; 长江大桥,长江; 江面; 落日
祁家桥俱乐部,
南京长江大桥; 春茗熙茶楼; 老韩柴火馄饨,蓝天; 白云; 江水; 轮船; 江对岸的楼房
玻璃栈道; 大桥南堡公园,落日
静海寺; 中山码头; 下关站; 下关大街; 公共路; 哈尔滨路; 中山北路; 江边路; ITC,
,落日; 天空
中山码头; 下关火车主题园; 长江水生生物科普馆; 下关历史陈列馆; 民国首都电厂旧址公园; 民国海军医院; 津浦书院; 扬子江生态公园; 长江微笑驿站; 江豚书屋; 浦口火车站旧址,长江; 燕子
夕Space落日餐厅,长江; 江风
长江大桥,长江
下关火车主题公园,长江; 滩涂; 落日; 夕阳; 潮汐; 海浪
中山码头; 下关火车主题乐园,
中山码头; 浦口码头; 扬子江生态公园; 兔布洛亲子乐园; 浦口公园; 大喜馄饨; 英俊童子鸡; 老川浦饭店; 浦东路菜市场,江面; 夕阳
中山码头,落日
,
下关大桥,长江; 水面; 鳑鲏; 白条; 鲫鱼; 鲤鱼; 鳊鱼
大桥南堡公园; 玻璃栈道; 长江大桥,长江
下关西主题街区; 南京西站; 涵江苑; 世纪缘酒店,长江; 江面; 江豚
玻璃栈道,
江边,风
中山码头,落日
下关滨江,长江; 落日; 天空; 风
下关火车主题公园; 中山码头; 浦口码头,江面
民国首都电厂旧址公园,
铁路轮渡栈桥旧址; 阅江楼,长江; 江面; 天空; 树荫; 阴云
南京长江大桥,长江
下关西火车站; 民国首都电厂旧址公园; 中山码头,长江; 太阳; 晚霞
南京长江大桥; 下关轮渡; 南堡公园; 亲水圆环景观桥,长江; 落日; 长江水流
南京长江大桥,长江
玻璃栈桥; 下关火车遗址公园; 江豚观测点; 下关大马路; 中山码头; 浦口火车站,长江; 江面; 江豚
江边,日落
中山码头; 浦口码头; 长江生态园; 小桥老槐树餐厅,长江; 长江边; 山峦; 阳光
玻璃栈道; 南堡公园; 下关火车主题公园; 铁路轮渡栈桥旧址; 中山码头; 浦口火车站,长江; 江水; 落日; 波纹
中山码头; 民国首都电厂旧址公园; 江豚观赏地; 下关火车主题公园,长江; 晚霞; 梅雨; 水位上涨; 江面
长江大桥玻璃栈道; 中山码头; 浦口码头,长江
民国海军医院旧址,长江; 堤岸
,
南京眼步行桥; 映虹桥; 小龙湾桥; 浦云路大桥; 花山大桥; 七里河桥; 石臼湖特大桥; 水月桥,长江; 湖泊; 水面倒影; 天空之镜
下关火车主题公园,空气; 风景
梧桐语,
,夕阳
长江大桥; 南堡公园,
无法判断,城市景观
中山码头; 七哥渔小馆,
下关火车主题公园; 南京西站; 长江大桥; 长江,长江; 日落; 夕阳; 江面
南京西站; 下关; 铁路轮渡旧址,长江; 江风
中山码头; 浦口码头; 南京北站,日落; 长江; 橘子海
大马路; 江边路; 民国海军医院旧址,
南京下关; 浦口火车站; 南京西站; 铁路轮渡栈桥旧址; 武汉长江大桥,长江
中山码头; 下关车站,长江
浦口火车站; 龙虎巷,梧桐树; 天空; 鸟
津浦路; 扬子江公园; 阅江楼; 南京长江大桥; 中山码头; 浦口码头; 浦口火车站,长江
下关大马路; 鲜鱼巷; 下关粮库; 京市铁路,
中山码头; 7-11江边路店,长江; 落日
鼓楼滨江; 下关火车主题公园; 和记洋行; 滨江风光带; 静海寺; 天妃宫; 南京西站铁路博物馆; 狮子山; 卢龙湖; 大洪池生态公园; 大观天地,长江; 阅江楼景区; 狮子山; 卢龙湖; 大洪池
浦口火车站; 南京北站旧址; 天桥小徐饭店,落日; 夕阳; 流浪猫
浦口火车站,
大桥公园; 长江大桥,
鼓楼滨江; 长江航道局,江边
南京北站; 浦口火车站; 南京扬子江国际会议中心,江边
长江之恋游轮; 长江大桥; 中山码头; 阅江楼; 五马渡,长江; 江面; 夕阳; 风; 江水
下关火车主题公园; 铁路轮渡旧址; 民国海军医院旧址; 中山码头; 浦口码头; 南京西站; 南京北站; 滨江公园; 长江大桥,长江; 日落; 夕阳; 芦苇; 野草; 凉风
鼓楼滨江,长江; 滨江景观
中山码头; 民国首都电厂旧址公园; 大马路; 南京下关历史陈列馆; 民国海军医院旧址; 铁路轮渡栈桥旧址; 下关火车主题公园; 玻璃栈桥,长江; 天气
阅江楼; 下关火车主题公园; 狮子山; 铁路轮渡栈桥旧址; 长江大桥; 南京西站; 浦口火车站,长江; 狮子山; 江风
中山码头,
无法判断,无法判断
中山码头; 码头咖啡; 幕府山; 燕子矶; 三台洞,长江; 日落
下关滨江,长江; 风
中山码头; 大马路; 南京西站; 沁百合地块; 大洪池生态公园,
,
下关火车主题公园,长江; 江面; 夕阳
下关火车主题公园,滨江边的风景
浦口北站,树木; 枝叶; 空气
,
中山码头; 浦口码头; 扬子江公园; 南京桥北万象汇; 总统府; 秦淮河; 玄武湖,长江; 湖泊; 秦淮河; 天气
浦口火车站; 南京北站; 中山码头; 大马路民国风情街,
南京西站; 中山码头; 浦口火车站,
南京西站,
浦口火车站; 南京北站; 浦口码头; 大马路; 中山码头,长江
大桥南堡公园; 德国马牌轮胎（森其步商贸店）; 长江边; 玻璃栈道,长江边
MCC BROMPTON(国创园店); 应天大街; 夹江大桥; 江豚观测点1; 江豚观测点2; 江豚科教中心（江心洲）,长江; 江面; 江豚
下关滨江; 中山码头; 江边路,长江; 江面; 天气; 草坪
下关火车主题公园,阳光; 长江; 江面; 风
铁路轮渡栈桥旧址,长江
颐和路; 颐和公馆; 西桥; 颐和路11片区,梧桐树; 阳光; 影子
中山码头; 长江大桥,长江; 江景; 夕阳
,
南京西站,
阅江楼; 中山码头; 浦口码头,
中山码头; 中山轮渡; 民国首都电厂旧址公园; 鼓楼滨江长廊; 江豚书屋,长江; 日落
五马渡游轮码头; 幕燕滨江风光带; 达摩古洞景区; 长江观音景区; 燕子矶公园; 南京长江大桥,长江; 江面; 日落; 江豚; 草坪; 观音景区自然景观
101明潮里; 阅江楼景区,银杏树; 山体; 视野开阔的山顶景观
玻璃栈道,晚霞
浦口火车站; 扬子江生态公园; 中山码头; 浦口码头; 大马路,长江; 江面; 夕阳; 风
下关,江边; 日落
京艺术中心; 中山码头; 浦口火车站,长江; 江豚; 天气; 江景; 落日
浦口火车站; 中山码头,
港口,
中山码头; 浦口码头; 扬子江生态公园; 南京北站; 浦口火车站街区; 南京长江大桥,长江; 大船; 货轮; 江风
南京长江大桥,长江; 江面
长江大桥; 下关火车主题公园,长江; 江面; 日落
铁路轮渡栈桥旧址; 下关火车主题公园; 民国首都电厂旧址公园; 中山码头; 长江大桥,江边; 日落; 长江
,
南京长江大桥,
中山码头; 民国首都电厂旧址公园,长江; 江面
玻璃栈道; 长江大桥; 下关火车主题公园; 中山码头; 阅江楼,长江; 落日; 天空
下关滨江; 中山码头; 浦口码头; 旧浦口火车站遗址; 江豚观赏地; 铁路轮渡旧址; 下关火车主题公园; 长江大桥玻璃栈道,长江; 江面; 雨; 风; 绿化植被
南京长江大桥; 下关西主题公园; 中山码头; 浦口,春天; 夕阳
中山码头; 达摩古洞,
中山码头,
中山码头; 下关火车主题园; 长江大桥玻璃栈道; 浦口码头; 民国首都电厂旧址公园; 7-11江边路店,风
长江大桥玻璃栈道; 南堡公园; 下关火车主题公园; 江豚观赏地,长江; 日落; 水体; 吸血虫
鼓楼滨江; 中山码头; 京艺术中心,长江; 梧桐树; 阳光; 树叶; 植物; 微风
浦口火车站; 文化艺术街区; 大马路; 浦口码头; 中山码头,
7-11江边路店,落日
中山码头; 民国首都电厂旧址; 海军医院旧址; 下关火车主题公园; 招商局旧址; 下关历史陈列馆; 中国银行南京分行旧址; 江苏邮政管理局旧址; 小红楼,
南京; 新街口; 大行宫; 张府园; 常府街; 上海路; 老门东; zong统府; 先锋书店; 颐和路; 西桥; 南京大学; 万象天地; 熙南里; 国创园; 梦幻城; 青岛路; 陶谷新村,
民国海军医院旧址,长江; 落日; 春花; 阳光
下关火车主题公园; 铁路轮渡旧址; 中山码头; 浦口火车站; 扬子江生态公园; 玻璃栈桥,长江; 江面; 橘子海; 夕阳; 云层
大桥南堡公园,太阳; 朝阳
无法判断,无法判断
7-11江边路店,长江; 江面; 阳光; 风; 江豚
长江大桥; 玻璃栈道; 下关火车主题公园; 中山码头; 大桥公园,晚风; 落日; 江面
中山码头; 民国首都电厂旧址公园; 江豚广场,长江; 江面; 落日; 风; 天气
鼓楼滨江; 幕府创新区,
无法判断,无法判断
下关火车主题公园,夕阳; 风
下关火车主题公园,江豚
南京长江大桥; 玻璃栈道; 阅江楼; 鱼嘴湿地公园; 灯塔观江平台,长江; 江景; 落日
中山码头,
,阳光; 晴天
下关火车主题公园; 铁路轮渡栈桥旧址; 沿长江走廊; 大马路; 中山码头; 民国首都电厂旧址公园; 天妃宫; 阅江楼景区; 挹江门; 绣球公园,长江; 走廊绿化
南京招商局旧址; 中山码头; 老江口码头,
中山码头; 浦口码头; 南京北站; 长江大桥,长江; 江风; 两岸风景
鼓楼滨江,长江; 落日; 江面; 船只
浦口火车站,长江
长江大桥,长江; 夕阳
中山码头,
下关火车主题公园,秋天景色; 树叶变色; 阳光
下关火车站; 南京西站,
,
中山码头; 浦口码头,
中山码头; 浦口码头; 浦口火车站,
浦口码头,江风
下关火车主题公园; 长江玻璃桥,芦苇丛; 礁石; 长江; 江面; 江风
下关火车公园,长江; 江面; 落日; 江风
中山码头; 浦口码头,天气; 风浪
幕燕滨江风光带; 八卦洲; 长江大桥; 中山码头; 浦口码头; 铁路轮渡栈桥旧址; 渡江胜利纪念馆; 阅江楼; 江豚观赏地,长江; 江面
浦口火车站,
浦口火车站,
中山码头; 浦口码头,长江
浦口火车站近代建筑风貌区; 浦口火车站旧址; 中山码头; 浦口码头; 扬子江生态公园; 扬子江公园; 浦口公园,
长江大桥南堡公园; 网红栈桥,
江边路,
南京大字墙; 晨光1865创意产业园; 老门东; 夫子庙; 颐和路11号; 西桥; 古鸡鸣寺; 南京城墙台城景区; 五台山先锋书店; 东园桥; 金银街; 大报恩寺,秦淮河; 紫金山远景; 乌桕树; 天空
下关火车主题公园,阳光
中山码头; 浦口码头,太阳; 江面
民国首都电厂旧址公园,长江; 浪涛; 江风; 阳光; 影子
长江大桥,长江; 江面
阅江楼; 玻璃栈桥; 下关火车公园; 江豚观赏点; 中山码头,长江; 落日; 晚霞; 江豚; 江景
